Feature,TabNet_Importance
serror_rate,0.19680689720337322
rerror_rate,0.11561423504663403
dst_host_srv_count,0.09284271979904087
dst_host_rerror_rate,0.08251005216257491
dst_host_diff_srv_rate,0.07520658808701143
dst_host_count,0.07160351741118291
dst_host_same_srv_rate,0.0539267116653545
flag,0.0525551409575099
same_srv_rate,0.04310752015070321
protocol_type,0.04138274417672924
hot,0.029982480300194736
dst_host_srv_serror_rate,0.028647436783200572
src_bytes,0.02798950521611942
count,0.018432755380016746
srv_count,0.012029750955035461
dst_host_srv_diff_host_rate,0.01115242917412531
dst_host_same_src_port_rate,0.010496495590774034
logged_in,0.009969835588397986
srv_serror_rate,0.009543877569520394
is_guest_login,0.004032516376254504
wrong_fragment,0.002914447276667339
dst_host_srv_rerror_rate,0.0020094391396184522
srv_diff_host_rate,0.0016876913975298407
num_root,0.0013918146601226557
duration,0.0010121898051081064
srv_rerror_rate,0.0009334158029199566
su_attempted,0.0005854604687403424
service,0.0004941616029282308
num_access_files,0.0004711940050796468
num_shells,0.00025370485651420114
land,0.00010042654297904766
num_file_creations,9.628738178810575e-05
dst_host_serror_rate,8.93525875575391e-05
diff_srv_rate,5.591324000522354e-05
dst_bytes,4.734835209912006e-05
num_failed_logins,2.2319474564904352e-05
urgent,8.723761740656014e-07
num_compromised,6.587618258127106e-07
is_host_login,7.8306681362436e-08
root_shell,1.0031751269857936e-08
num_outbound_cmds,4.335591620231483e-09
